"insurer","bank_name","product_type","product_name","product_description","insurance_type"
"Sun Life","-","Life","SunBrilliance Whole Life","SunBrilliance Whole Life gives you lifetime protection with 3 options for Guaranteed Death Benefit to ensure financial security for generations to come. With a high Guaranteed Cash Value, SunBrilliance Whole Life also provides access to liquidity, combined with growth potentials through Additions for additional peace of mind.","Life Insurance"
"Sun Life","-","Life","SunBrilliance Indexed Universal Life","Now there’s a life insurance plan that can keep up with you, and the markets. SunBrilliance Indexed Universal Life is a flexible plan that’s indexed to the S&P 500 and designed to give you a good balance of lifetime coverage and high potential growth, while allowing you to optimise how your premiums are invested.","Life Insurance"
"","","Scraped at",":","2024-09-13 22:24 +08",""
